# Exact Google Drive archive contract. Paths are relative to DRIVE_REMOTE (default data:).
# id	category	kind	local_path	drive_path	restore_path	expected_count	expected_bytes	sha256	status	notes
phase1_D_dcp	checkpoint	tree	${RUN_ROOT}/cosmos3_camera/camera_world/native_phase1_vq_D_varprefix_camera_kv_lora_aw2_bs4_lr5e5_ema100k_qfilterv1_person/checkpoints/iter_000100000	cosmos_ckpts/native_phase1_vq_D/iter_000100000	${RUN_ROOT}/cosmos3_camera/camera_world/native_phase1_vq_D_varprefix_camera_kv_lora_aw2_bs4_lr5e5_ema100k_qfilterv1_person/checkpoints/iter_000100000	36	91263133825	-	verified	Full resumable native DCP
nymeria_split	data	file	${WEKA_ROOT}/nymeriaplus_kimodo_proportional/train_test_split.json	cosmos_data/nymeriaplus_kimodo_proportional/train_test_split.json	${WEKA_ROOT}/nymeriaplus_kimodo_proportional/train_test_split.json	1	33572	2e533800db36dc31a6d8c8b87798f54275d9f939a0f0024056491eab4e8d8081	verified	Sequence-level split
nymeria_floor_calibration	data	file	${WEKA_ROOT}/nymeriaplus_kimodo_proportional/metadata/floor_calibration.json	cosmos_data/nymeriaplus_kimodo_proportional/metadata/floor_calibration.json	${WEKA_ROOT}/nymeriaplus_kimodo_proportional/metadata/floor_calibration.json	1	489507	ad27208f9ad8e472d16bcda14e8fdc765b3496248a8763ed95619a9a2f3693c8	verified	Motion floor offsets and exclusions
nymeria_quality_filter	data	file	${WEKA_ROOT}/nymeriaplus_kimodo_proportional/metadata/camera_motion_quality_filter_v1_T97.json	cosmos_data/nymeriaplus_kimodo_proportional/metadata/camera_motion_quality_filter_v1_T97.json	${WEKA_ROOT}/nymeriaplus_kimodo_proportional/metadata/camera_motion_quality_filter_v1_T97.json	1	1761746	1fd6465890cbf175068db839beb8bb220f6964090ff2c583cbf50d5001989848	verified	Phase-1 physical-window quality filter
nymeria_video_manifest	data	file	${WEKA_ROOT}/nymeriaplus_kimodo_proportional/video/manifest_video.jsonl	cosmos_data/nymeriaplus_kimodo_proportional/video/manifest_video.jsonl	${WEKA_ROOT}/nymeriaplus_kimodo_proportional/video/manifest_video.jsonl	1	64062374	d9e4a6f369b13f89ea3f6dcb91f43dc5f10ff4d5c04fc0142cc53a0372c8c59e	verified	Aligned video/camera/motion/caption windows
seed_multi_timeline	data	file	${WEKA_ROOT}/seed/multi_timeline.jsonl	cosmos_data/seed/multi_timeline.jsonl	${WEKA_ROOT}/seed/multi_timeline.jsonl	1	173248529	5dce63b8738590bcdf8b648c1f2be4bd28b984e6d8a60229ba2b473eb3546096	verified	BONES multi-timeline captions
seed_metadata_csv	data	file	${WEKA_ROOT}/seed/metadata/seed_metadata_v004.csv	cosmos_data/seed/metadata/seed_metadata_v004.csv	${WEKA_ROOT}/seed/metadata/seed_metadata_v004.csv	1	146411608	71d09422034946d17dbb0db027d569408c486545bdb12f7979d55e6ffd9bbc39	verified	BONES overview/single source metadata
seed_metadata_parquet	data	file	${WEKA_ROOT}/seed/metadata/seed_metadata_v004.parquet	cosmos_data/seed/metadata/seed_metadata_v004.parquet	${WEKA_ROOT}/seed/metadata/seed_metadata_v004.parquet	1	4499876	7cbe5624f91ae19af3feee69cff74b2cf553fb26367c8edc4b674c3d8ea97e7d	verified	BONES metadata parquet
seed_temporal_labels	data	file	${WEKA_ROOT}/seed/metadata/seed_metadata_v002_temporal_labels.jsonl	cosmos_data/seed/metadata/seed_metadata_v002_temporal_labels.jsonl	${WEKA_ROOT}/seed/metadata/seed_metadata_v002_temporal_labels.jsonl	1	58447630	302da3c319bbed4f712fa22a4d71b5288493911140cd72579e29de2ac324d634	verified	BONES single-timeline labels
nymeria_pairs_train	data	file	${REPO_ROOT}/motion_expert/pairs_train.jsonl	cosmos_data/joint_attention/nymeria_pairs_train.jsonl	${REPO_ROOT}/motion_expert/pairs_train.jsonl	1	57603806	117ee9a1bbf8a059fc950cb221cf5d6c22453dd5bac3522965d3240b29c3a48d	verified	Ignored by Git; required by Nymeria POC/default pair paths
nymeria_pairs_val	data	file	${REPO_ROOT}/motion_expert/pairs_val.jsonl	cosmos_data/joint_attention/nymeria_pairs_val.jsonl	${REPO_ROOT}/motion_expert/pairs_val.jsonl	1	6071893	88ee473648d7a8bc3bee0caa282d9acc0f5141e684f7695f399cdc172eed53b9	verified	Ignored by Git; required by Nymeria POC/default pair paths
bones_pairs_train	data	file	${RUN_ROOT}/joint_attention/bones_pairs_train.jsonl	cosmos_data/joint_attention/bones_pairs_train.jsonl	${RUN_ROOT}/joint_attention/bones_pairs_train.jsonl	1	222686895	f4c36ecfd5989b28c7cd5c2a1e3073a45000c4c5e719ac084e80736c922f1630	verified	Fourth-overview-caption BONES training pairs
bones_pairs_val	data	file	${RUN_ROOT}/joint_attention/bones_pairs_val.jsonl	cosmos_data/joint_attention/bones_pairs_val.jsonl	${RUN_ROOT}/joint_attention/bones_pairs_val.jsonl	1	6301597	1a03e43fd49aa11ea92f403180fca0cc12363997c7940c78956faa36b98a3fd9	verified	BONES validation pairs
bones_index_train	data	file	${RUN_ROOT}/joint_attention/bones_index_train.json	cosmos_data/joint_attention/bones_index_train.json	${RUN_ROOT}/joint_attention/bones_index_train.json	1	332878532	bdab530a8b439f62cdae9115f989b5b92de69ed6440f9684c6c4130cc873426c	verified	Resolved BONES training index
bones_index_val	data	file	${RUN_ROOT}/joint_attention/bones_index_val.json	cosmos_data/joint_attention/bones_index_val.json	${RUN_ROOT}/joint_attention/bones_index_val.json	1	12506909	1142d6e718c0b6161e6e235282abd0c5478f03276a13d973b3a9f2f5aceb635d	verified	Resolved BONES validation index
full71_windows	eval	file	${RUN_ROOT}/joint_attention/full71_windows.json	cosmos_data/joint_attention/full71_windows.json	${RUN_ROOT}/joint_attention/full71_windows.json	1	6798	0fcf936d0fd56c1a4e75a473416da1ea8f368de07186b174b4761211357fcbaf	verified	Canonical joint-attention held-out windows
bomb_windows	data	file	${RUN_ROOT}/joint_attention/bomb_windows.json	cosmos_data/joint_attention/bomb_windows.json	${RUN_ROOT}/joint_attention/bomb_windows.json	1	39798	5bf8afd9ae1e4f8a25732670e819049d8a6100d0368825191aee445a61a58fe2	verified	Known invalid/loss-bomb window blocklist
lpips_alexnet	eval	file	${TORCH_HOME}/hub/checkpoints/alexnet-owt-7be5be79.pth	cosmos_models/evaluation/torch_hub/checkpoints/alexnet-owt-7be5be79.pth	${TORCH_HOME}/hub/checkpoints/alexnet-owt-7be5be79.pth	1	244408911	7be5be791159472b1fbf3c69796f7cb30dca7ad8466c2df70058c37116cdee02	verified	Offline LPIPS AlexNet backbone
phase1_baseline_ema_delta	checkpoint	file	${RUN_ROOT}/portable/native_phase1_camera_json_bs4_lora5e5_action4x_ema_100k_iter100000_ema_gen_delta.pt	cosmos_ckpts/native_phase1_baseline/iter_000100000_ema_gen_delta.pt	${RUN_ROOT}/portable/native_phase1_camera_json_bs4_lora5e5_action4x_ema_100k_iter100000_ema_gen_delta.pt	1	129150012	4f55361baaf60a8e9438b2828d43649c4ff1e7f67608f6baae92b8c908abc393	verified	Exact 293-tensor EMA LoRA/action subset for Phase-3 initialization; not a resumable native DCP
phase2_native	checkpoint	file	${RUN_ROOT}/ja_t2m_ti2m_reasonerimg_x0_native_shift3_T200_ti97_mrope3d/ckpt_step200000.pt	cosmos_ckpts/ja_phase2_t2m_ti2m_native/ckpt_step200000.pt	${RUN_ROOT}/ja_t2m_ti2m_reasonerimg_x0_native_shift3_T200_ti97_mrope3d/ckpt_step200000.pt	1	6186575951	b0c89f83e81c9f0b1a1d3cbe8be17639fe120a0467e99f2717831cb3e9e4b8ea	verified	Phase-2 native-schedule production checkpoint
phase2_contact	checkpoint	file	${RUN_ROOT}/ja_t2m_ti2m_reasonerimg_x0_native_shift3_T200_ti97_mrope3d_w1_1_5_contact_c0p05_v1_h10_s2_unipc35/ckpt_step200000.pt	cosmos_ckpts/ja_phase2_t2m_ti2m_contact_unipc35/ckpt_step200000.pt	${RUN_ROOT}/ja_t2m_ti2m_reasonerimg_x0_native_shift3_T200_ti97_mrope3d_w1_1_5_contact_c0p05_v1_h10_s2_unipc35/ckpt_step200000.pt	1	6186577167	a21db649e6402977723af0ee0ba1de55c220ad42c55a01163caca0ea3fc9ac61	verified	Phase-2 contact-loss checkpoint
phase3_vanilla	checkpoint	file	${RUN_ROOT}/ja_phase3_bridge_v2m_m2v_native_p1ema100k_p2native200k/ckpt_step200000.pt	cosmos_ckpts/ja_phase3_bridge_native/ckpt_step200000.pt	${RUN_ROOT}/ja_phase3_bridge_v2m_m2v_native_p1ema100k_p2native200k/ckpt_step200000.pt	1	9664974991	d15b695c659345c3a3fe8c536feeffebce935690927a98fd15ac37c71dec1e62	verified	Phase-3 vanilla bridge
phase3_headcam	checkpoint	file	${RUN_ROOT}/ja_phase3_bridge_v2m_m2v_native_p1ema100k_p2native200k_headcam/ckpt_step115000.pt	cosmos_ckpts/ja_phase3_bridge_native_headcam/ckpt_step115000.pt	${RUN_ROOT}/ja_phase3_bridge_v2m_m2v_native_p1ema100k_p2native200k_headcam/ckpt_step115000.pt	1	9664976399	881cd88eb1c5508ce65f7472e88756aba5c3f170d3329e2295555c2796af00af	verified	Phase-3 head-camera auxiliary-loss variant
phase3_multitask	checkpoint	file	${RUN_ROOT}/ja_phase3_bridge_v2m_m2v_native_p1ema100k_p2native200k_multitask/ckpt_step065000.pt	cosmos_ckpts/ja_phase3_bridge_native_multitask/ckpt_step065000.pt	${RUN_ROOT}/ja_phase3_bridge_v2m_m2v_native_p1ema100k_p2native200k_multitask/ckpt_step065000.pt	1	9664976527	352dd2f6f9abc2cc186f3b9b9216a0d81bca449cfe9e195afbd7feb040574d61	verified	Phase-3 joint camera/motion generation multitask variant
phase3_contact	checkpoint	file	${RUN_ROOT}/ja_phase3_bridge_v2m_m2v_native_p1ema100k_p2contact200k/ckpt_step035000.pt	cosmos_ckpts/ja_phase3_bridge_native_contact/ckpt_step035000.pt	${RUN_ROOT}/ja_phase3_bridge_v2m_m2v_native_p1ema100k_p2contact200k/ckpt_step035000.pt	1	9664976399	86583a02bb4e0399a195198b0bf3b97ada9a2a8d652a1833b57ac474adb6d679	verified	Phase-3 initialized from contact-loss Phase 2
